,1
512,81365
256,14415
-512,9077
1024,8149
128,4412
64,4225
32,3145
-1024,2869
192,2453
352,2123
320,2029
-16,2018
1536,1997
-128,1949
16,1515
-1536,1445
448,1266
480,910
160,905
96,836
-64,813
-256,647
384,624
224,576
-192,572
-32,569
0,514
288,491
-160,468
1017,426
640,345
-505,333
576,305
-48,292
240,270
-384,261
-96,244
-224,237
960,205
-672,199
-320,199
416,197
504,195
-704,191
-576,190
505,184
7,178
-960,176
768,175
-1017,165
704,164
-448,152
-8304128,141
-768,141
-288,140
8,136
672,135
832,128
544,127
2560,126
48,119
-544,118
80,116
-480,114
112,109
208,109
1280,107
1472,105
-640,104
-352,104
24,97
896,96
1088,94
1344,93
176,91
-1472,90
1529,90
-528,87
-832,85
-896,84
-87897600,83
-1529,81
864,81
79600128,80
4608,76
144,74
992,72
1152,71
1216,69
-2041,67
608,67
-1088,66
-736,65
-3584,62
-1152,60
736,60
-1344,58
-1216,58
-416,58
1376,56
-159206912,55
-1280,55
-153,54
1408,53
2041,53
79596032,53
800,52
79591936,52
1600,51
87900672,50
-608,49
87906816,48
-5632,45
-185,45
79606272,45
-864,43
-665,42
496,42
-992,41
-80,41
1008,41
-1376,39
-240,39
-176,39
1312,39
928,36
1504,36
2048,36
-1984,35
-1408,35
-112,35
1056,35
1248,35
-57,34
1664,34
-144,33
-89796096,32
-304,31
528,31
-496,30
-697,29
8704,29
-1856,28
-928,28
-272,28
-800,27
1184,27
1792,27
-34508288,26
-1504,26
1120,26
272,25
159189504,25
3072,24
5120,24
-2048,23
665,23
-71294464,22
-1600,22
3584,22
42816000,22
71297536,22
-7680,21
-569,21
-432,21
455,21
709632,21
-71304704,20
-1920,20
-1312,20
-1120,20
-208,20
1856,20
79604224,20
-98104832,19
-1056,19
-464,19
1728,19
1920,19
-368,18
304,18
1984,18
6656,18
-1248,17
-336,17
519,17
697,17
4096,17
-1728,16
-1664,16
-400,16
-1184,15
1440,15
1696,15
1904,15
707584,15
107747840,15
-537,14
1520,14
57856,14
107745792,14
-55291392,13
-976,13
359,13
1568,13
107741696,13
-71298560,12
-3072,12
-2240,12
-1792,12
-1760,12
-1440,12
336,12
464,12
1632,12
8192,12
711680,12
107743744,12
-9728,11
-217,11
-25,11
40,11
368,11
569,11
9216,11
10752,11
911872,11
71303680,11
107749888,11
1142222880,11
-79601152,10
-71085568,10
-60928,10
-5120,10
-729,10
-24,10
6144,10
8299008,10
27769344,10
27777536,10
55286272,10
98105856,10
-35175936,9
-4032,9
-720,9
